Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm-rnd-yr)
Dalton Wagner,OT,Arkansas,College Stats,6-8,320,,24.5,,102,,,
Alex Ward,LS,Central Florida,College Stats,6-4,240,5.06,30,12,114,,4.46,
Jay Ward,CB,LSU,College Stats,6-1,188,4.55,34.5,16,132,,,
Carter Warren,OT,Pittsburgh,College Stats,6-6,311,,,,,,,
Darnell Washington,TE,Georgia,College Stats,6-7,264,,31,21,122,,4.08,
Parker Washington,WR,Penn St.,College Stats,5-10,204,,,16,,,,
Jalen Wayne,WR,South Alabama,College Stats,6-2,210,4.51,34.5,,124,,,
Tyrus Wheat,EDGE,Mississippi St.,College Stats,6-2,263,4.65,28.5,,113,,4.54,
Keion White,EDGE,Georgia Tech,College Stats,6-5,285,,34,30,117,,,
Blake Whiteheart,TE,Wake Forest,College Stats,6-4,247,,35.5,20,115,,,
Josh Whyle,TE,Cincinnati,College Stats,6-7,248,,33.5,,115,,,
Dontayvion Wicks,WR,Virginia,College Stats,6-1,206,4.62,39,,130,,,
Dorian Williams,LB,Tulane,College Stats,6-1,228,4.49,33.5,,120,,,
Garrett Williams,CB,Syracuse,College Stats,5-10,192,,,,,,,
Brayden Willis,TE,Oklahoma,College Stats,6-4,241,,32,20,117,7.3,4.36,
Michael Wilson,WR,Stanford,College Stats,6-2,213,4.58,37.5,23,125,,4.27,
Tyree Wilson,EDGE,Texas Tech,College Stats,6-6,271,,,23,,,,
Dee Winters,LB,TCU,College Stats,5-11,227,4.49,30.5,,117,,,
Devon Witherspoon,CB,Illinois,College Stats,6-0,181,,,,,,,
Colby Wooden,DE,Auburn,College Stats,6-4,273,4.79,,23,115,,4.52,
Darnell Wright,OT,Tennessee,College Stats,6-5,333,5.01,29,,114,,,
Rejzohn Wright,CB,Oregon St.,College Stats,6-2,193,,,,,,,
Luke Wypler,C,Ohio St.,College Stats,6-3,303,5.14,30.5,,106,7.64,4.53,
Bryce Young,QB,Alabama,College Stats,5-10,204,,,,,,,
Byron Young,EDGE,Tennessee,College Stats,6-2,250,4.43,38,22,132,7.19,,
Byron Young,DT,Alabama,College Stats,6-3,294,,26,24,108,7.68,,
Cameron Young,DT,Mississippi St.,College Stats,6-3,304,5.1,,,,,,
