Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,124,CAR,Eric Norwood,LB,22,2011,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,19,,1,South Carolina,College Stats,NorwEr99
4,125,PHI,Clay Harbor,TE,23,2016,0,0,2,7,3,98,0,0,0,0,0,0,0,0,114,1170,8,7,,,Missouri State,,HarbCl00
4,126,DAL,Akwasi Owusu-Ansah,DB,22,2013,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,15,,,Indiana (PA),,OwusAk99
4,127,SEA,E.J. Wilson,DE,22,2010,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina,College Stats,WilsE.99
4,128,DET,Jason Fox,T,22,2015,0,0,1,9,2,37,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),College Stats,FoxxJa20
4,129,IND,Jacques McClendon,G,22,2015,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,College Stats,McClJa20
4,130,ARI,O'Brien Schofield,DE,23,2016,0,0,2,15,8,84,0,0,0,0,0,0,0,0,0,0,0,117,,15.5,Wisconsin,College Stats,SchoOB99
4,131,CIN,Roddrick Muckelroy,LB,23,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,4,,,Texas,College Stats,MuckRo99
5,132,STL,Michael Hoomanawanui,TE,22,2017,0,0,3,5,1,87,0,0,0,0,0,1,0,0,57,646,8,2,,,Illinois,College Stats,HoomMi00
5,133,SEA,Kam Chancellor,DB,22,2017,0,4,7,49,49,109,0,0,0,0,0,0,0,0,0,0,0,421,12,2,Virginia Tech,College Stats,ChanKa99
5,134,PHI,Ricky Sapp,DE,23,2014,0,0,0,1,,17,0,0,0,0,0,0,0,0,0,0,0,3,,,Clemson,College Stats,SappRi99
5,135,ATL,Dominique Franks,DB,22,2014,0,0,0,6,5,52,0,0,0,0,0,0,0,0,0,0,0,34,3,,Oklahoma,College Stats,FranDo99
5,136,KAN,Kendrick Lewis,DB,22,2018,0,0,6,30,18,103,0,0,0,0,0,0,0,0,0,0,0,255,9,,Mississippi,College Stats,LewiKe00
5,137,DEN,Perrish Cox,DB,23,2016,0,0,4,19,3,81,0,0,0,0,0,0,0,0,0,0,0,191,10,,Oklahoma St.,College Stats,CoxxPe99
5,138,OAK,Walter McFadden,DB,23,2010,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,,,Auburn,College Stats,McFaWa99
5,139,NYJ,John Conner,RB,23,2014,0,0,1,0,0,62,0,0,0,0,0,27,108,2,12,84,1,2,,,Kentucky,College Stats,ConnJo00
5,140,BUF,Ed Wang,T,23,2010,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats,WangEd20
5,141,CHI,Joshua Moore,DB,22,2010,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Kansas St.,College Stats,MoorJo99
5,142,KAN,Cameron Sheffield,DE,22,2012,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,7,,,Troy,College Stats,ShefCa99
5,143,JAX,Larry Hart,DE,23,2010,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,5,,1.5,Central Arkansas,,HartLa99
